Category: All categories

Month,Android: (Worldwide)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,2
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,3
2008-10,3
2008-11,2
2008-12,2
2009-01,2
2009-02,3
2009-03,3
2009-04,3
2009-05,4
2009-06,4
2009-07,5
2009-08,5
2009-09,5
2009-10,8
2009-11,10
2009-12,10
2010-01,10
2010-02,10
2010-03,12
2010-04,15
2010-05,18
2010-06,22
2010-07,27
2010-08,32
2010-09,32
2010-10,33
2010-11,37
2010-12,44
2011-01,44
2011-02,45
2011-03,46
2011-04,47
2011-05,51
2011-06,56
2011-07,59
2011-08,62
2011-09,62
2011-10,68
2011-11,70
2011-12,82
2012-01,78
2012-02,76
2012-03,80
2012-04,78
2012-05,73
2012-06,78
2012-07,85
2012-08,84
2012-09,85
2012-10,82
2012-11,84
2012-12,96
2013-01,91
2013-02,86
2013-03,87
2013-04,82
2013-05,87
2013-06,89
2013-07,89
2013-08,93
2013-09,95
2013-10,97
2013-11,94
2013-12,100
2014-01,94
2014-02,93
2014-03,88
2014-04,86
2014-05,83
2014-06,85
2014-07,90
2014-08,91
2014-09,87
2014-10,88
2014-11,93
2014-12,93
2015-01,90
2015-02,84
2015-03,84
2015-04,84
2015-05,79
2015-06,79
2015-07,80
2015-08,81
2015-09,80
2015-10,78
2015-11,75
2015-12,79
2016-01,72
2016-02,70
2016-03,68
2016-04,65
2016-05,65
2016-06,65
2016-07,78
2016-08,69
2016-09,64
2016-10,61
2016-11,60
2016-12,64
2017-01,62
2017-02,59
2017-03,58
2017-04,57
2017-05,54
2017-06,55
2017-07,54
2017-08,54
2017-09,52
2017-10,50
2017-11,50
2017-12,53
2018-01,50
2018-02,48
2018-03,49
2018-04,47
2018-05,47
2018-06,47
2018-07,47
2018-08,50
2018-09,48
2018-10,48
2018-11,45
2018-12,46
2019-01,44
2019-02,42
2019-03,42
2019-04,40
2019-05,40
2019-06,42
2019-07,42
2019-08,42
2019-09,42
2019-10,41
2019-11,40
2019-12,40
