Category: All categories

Month,Artificial Intelligence: (Worldwide)
2004-01,91
2004-02,100
2004-03,85
2004-04,91
2004-05,70
2004-06,64
2004-07,63
2004-08,67
2004-09,72
2004-10,70
2004-11,69
2004-12,65
2005-01,60
2005-02,63
2005-03,64
2005-04,53
2005-05,55
2005-06,47
2005-07,47
2005-08,41
2005-09,54
2005-10,51
2005-11,51
2005-12,42
2006-01,40
2006-02,46
2006-03,45
2006-04,39
2006-05,38
2006-06,30
2006-07,29
2006-08,29
2006-09,45
2006-10,41
2006-11,38
2006-12,31
2007-01,30
2007-02,32
2007-03,38
2007-04,29
2007-05,30
2007-06,24
2007-07,30
2007-08,26
2007-09,29
2007-10,30
2007-11,30
2007-12,25
2008-01,28
2008-02,27
2008-03,28
2008-04,25
2008-05,24
2008-06,21
2008-07,22
2008-08,21
2008-09,24
2008-10,23
2008-11,24
2008-12,23
2009-01,23
2009-02,24
2009-03,25
2009-04,27
2009-05,24
2009-06,23
2009-07,26
2009-08,27
2009-09,25
2009-10,27
2009-11,27
2009-12,26
2010-01,26
2010-02,27
2010-03,27
2010-04,25
2010-05,24
2010-06,21
2010-07,20
2010-08,22
2010-09,24
2010-10,28
2010-11,25
2010-12,22
2011-01,23
2011-02,26
2011-03,23
2011-04,24
2011-05,22
2011-06,20
2011-07,21
2011-08,23
2011-09,27
2011-10,31
2011-11,32
2011-12,27
2012-01,25
2012-02,25
2012-03,28
2012-04,24
2012-05,21
2012-06,21
2012-07,21
2012-08,20
2012-09,24
2012-10,24
2012-11,23
2012-12,20
2013-01,21
2013-02,23
2013-03,23
2013-04,23
2013-05,22
2013-06,20
2013-07,18
2013-08,19
2013-09,22
2013-10,22
2013-11,23
2013-12,22
2014-01,23
2014-02,25
2014-03,24
2014-04,23
2014-05,24
2014-06,21
2014-07,20
2014-08,23
2014-09,23
2014-10,24
2014-11,28
2014-12,28
2015-01,27
2015-02,29
2015-03,30
2015-04,28
2015-05,32
2015-06,28
2015-07,30
2015-08,27
2015-09,30
2015-10,30
2015-11,33
2015-12,30
2016-01,34
2016-02,32
2016-03,36
2016-04,34
2016-05,34
2016-06,31
2016-07,26
2016-08,27
2016-09,33
2016-10,40
2016-11,42
2016-12,41
2017-01,41
2017-02,44
2017-03,46
2017-04,47
2017-05,50
2017-06,42
2017-07,46
2017-08,54
2017-09,60
2017-10,63
2017-11,70
2017-12,61
2018-01,75
2018-02,70
2018-03,65
2018-04,66
2018-05,66
2018-06,55
2018-07,55
2018-08,56
2018-09,63
2018-10,67
2018-11,67
2018-12,62
2019-01,64
2019-02,68
2019-03,67
2019-04,66
2019-05,65
2019-06,66
2019-07,64
2019-08,63
2019-09,72
2019-10,69
2019-11,73
2019-12,70
