Category: All categories

Month,Biotechnology: (Worldwide)
2004-01,100
2004-02,95
2004-03,87
2004-04,80
2004-05,88
2004-06,92
2004-07,93
2004-08,75
2004-09,83
2004-10,72
2004-11,72
2004-12,73
2005-01,70
2005-02,71
2005-03,71
2005-04,68
2005-05,72
2005-06,70
2005-07,66
2005-08,62
2005-09,63
2005-10,59
2005-11,61
2005-12,48
2006-01,56
2006-02,60
2006-03,56
2006-04,57
2006-05,57
2006-06,53
2006-07,50
2006-08,46
2006-09,46
2006-10,43
2006-11,45
2006-12,35
2007-01,44
2007-02,41
2007-03,44
2007-04,42
2007-05,44
2007-06,45
2007-07,42
2007-08,40
2007-09,38
2007-10,37
2007-11,38
2007-12,32
2008-01,38
2008-02,37
2008-03,38
2008-04,38
2008-05,36
2008-06,38
2008-07,36
2008-08,32
2008-09,31
2008-10,32
2008-11,31
2008-12,27
2009-01,30
2009-02,32
2009-03,34
2009-04,32
2009-05,32
2009-06,36
2009-07,33
2009-08,30
2009-09,32
2009-10,31
2009-11,31
2009-12,27
2010-01,30
2010-02,31
2010-03,32
2010-04,31
2010-05,30
2010-06,34
2010-07,31
2010-08,27
2010-09,28
2010-10,27
2010-11,26
2010-12,22
2011-01,25
2011-02,26
2011-03,26
2011-04,26
2011-05,28
2011-06,30
2011-07,27
2011-08,25
2011-09,26
2011-10,24
2011-11,25
2011-12,23
2012-01,25
2012-02,26
2012-03,26
2012-04,24
2012-05,25
2012-06,29
2012-07,25
2012-08,23
2012-09,24
2012-10,22
2012-11,20
2012-12,19
2013-01,23
2013-02,23
2013-03,23
2013-04,24
2013-05,24
2013-06,25
2013-07,23
2013-08,22
2013-09,22
2013-10,20
2013-11,21
2013-12,18
2014-01,22
2014-02,23
2014-03,23
2014-04,23
2014-05,23
2014-06,25
2014-07,23
2014-08,21
2014-09,22
2014-10,19
2014-11,19
2014-12,19
2015-01,22
2015-02,22
2015-03,23
2015-04,23
2015-05,24
2015-06,24
2015-07,22
2015-08,21
2015-09,21
2015-10,19
2015-11,19
2015-12,17
2016-01,19
2016-02,22
2016-03,21
2016-04,22
2016-05,24
2016-06,24
2016-07,21
2016-08,19
2016-09,20
2016-10,18
2016-11,18
2016-12,18
2017-01,20
2017-02,21
2017-03,22
2017-04,21
2017-05,24
2017-06,25
2017-07,21
2017-08,19
2017-09,19
2017-10,18
2017-11,20
2017-12,17
2018-01,19
2018-02,21
2018-03,20
2018-04,22
2018-05,24
2018-06,25
2018-07,20
2018-08,19
2018-09,19
2018-10,19
2018-11,18
2018-12,16
2019-01,20
2019-02,20
2019-03,23
2019-04,22
2019-05,24
2019-06,25
2019-07,22
2019-08,20
2019-09,25
2019-10,19
2019-11,19
2019-12,21
