Category: All categories

Month,FinTech: (Worldwide)
2004-01,2
2004-02,2
2004-03,2
2004-04,3
2004-05,2
2004-06,2
2004-07,1
2004-08,1
2004-09,1
2004-10,2
2004-11,2
2004-12,3
2005-01,2
2005-02,2
2005-03,2
2005-04,2
2005-05,3
2005-06,1
2005-07,2
2005-08,2
2005-09,2
2005-10,3
2005-11,3
2005-12,2
2006-01,3
2006-02,2
2006-03,2
2006-04,3
2006-05,3
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,4
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,3
2007-05,2
2007-06,1
2007-07,2
2007-08,1
2007-09,2
2007-10,2
2007-11,3
2007-12,2
2008-01,2
2008-02,2
2008-03,2
2008-04,3
2008-05,2
2008-06,2
2008-07,1
2008-08,2
2008-09,2
2008-10,2
2008-11,2
2008-12,2
2009-01,1
2009-02,2
2009-03,2
2009-04,1
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,1
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,3
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,1
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,3
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,3
2013-09,3
2013-10,3
2013-11,5
2013-12,2
2014-01,3
2014-02,3
2014-03,3
2014-04,4
2014-05,3
2014-06,4
2014-07,5
2014-08,5
2014-09,5
2014-10,6
2014-11,7
2014-12,5
2015-01,8
2015-02,9
2015-03,12
2015-04,13
2015-05,13
2015-06,16
2015-07,17
2015-08,17
2015-09,21
2015-10,25
2015-11,26
2015-12,27
2016-01,33
2016-02,37
2016-03,42
2016-04,47
2016-05,50
2016-06,50
2016-07,43
2016-08,46
2016-09,50
2016-10,53
2016-11,60
2016-12,46
2017-01,60
2017-02,61
2017-03,62
2017-04,60
2017-05,61
2017-06,61
2017-07,60
2017-08,61
2017-09,70
2017-10,75
2017-11,81
2017-12,63
2018-01,68
2018-02,69
2018-03,76
2018-04,71
2018-05,73
2018-06,67
2018-07,65
2018-08,72
2018-09,77
2018-10,88
2018-11,91
2018-12,66
2019-01,78
2019-02,85
2019-03,83
2019-04,83
2019-05,84
2019-06,87
2019-07,92
2019-08,87
2019-09,96
2019-10,97
2019-11,100
2019-12,90
