Category: All categories

Month,Mobile: (Worldwide)
2004-01,40
2004-02,38
2004-03,39
2004-04,38
2004-05,38
2004-06,40
2004-07,42
2004-08,43
2004-09,43
2004-10,40
2004-11,41
2004-12,44
2005-01,43
2005-02,43
2005-03,41
2005-04,41
2005-05,41
2005-06,43
2005-07,45
2005-08,45
2005-09,43
2005-10,43
2005-11,43
2005-12,46
2006-01,45
2006-02,44
2006-03,44
2006-04,44
2006-05,44
2006-06,45
2006-07,48
2006-08,49
2006-09,47
2006-10,45
2006-11,46
2006-12,48
2007-01,47
2007-02,46
2007-03,46
2007-04,46
2007-05,47
2007-06,49
2007-07,51
2007-08,50
2007-09,49
2007-10,48
2007-11,49
2007-12,52
2008-01,50
2008-02,50
2008-03,50
2008-04,50
2008-05,48
2008-06,50
2008-07,54
2008-08,55
2008-09,53
2008-10,52
2008-11,52
2008-12,54
2009-01,54
2009-02,55
2009-03,54
2009-04,54
2009-05,54
2009-06,56
2009-07,59
2009-08,61
2009-09,58
2009-10,57
2009-11,57
2009-12,59
2010-01,59
2010-02,59
2010-03,57
2010-04,56
2010-05,56
2010-06,59
2010-07,81
2010-08,83
2010-09,81
2010-10,77
2010-11,78
2010-12,81
2011-01,82
2011-02,80
2011-03,77
2011-04,76
2011-05,77
2011-06,82
2011-07,85
2011-08,84
2011-09,86
2011-10,85
2011-11,86
2011-12,90
2012-01,100
2012-02,91
2012-03,89
2012-04,88
2012-05,86
2012-06,89
2012-07,90
2012-08,92
2012-09,92
2012-10,89
2012-11,86
2012-12,90
2013-01,87
2013-02,86
2013-03,83
2013-04,84
2013-05,84
2013-06,87
2013-07,84
2013-08,87
2013-09,84
2013-10,81
2013-11,82
2013-12,83
2014-01,80
2014-02,79
2014-03,78
2014-04,76
2014-05,75
2014-06,78
2014-07,79
2014-08,82
2014-09,83
2014-10,80
2014-11,78
2014-12,80
2015-01,78
2015-02,77
2015-03,74
2015-04,75
2015-05,73
2015-06,73
2015-07,75
2015-08,74
2015-09,74
2015-10,73
2015-11,70
2015-12,72
2016-01,66
2016-02,71
2016-03,65
2016-04,63
2016-05,63
2016-06,64
2016-07,69
2016-08,67
2016-09,70
2016-10,67
2016-11,64
2016-12,67
2017-01,65
2017-02,63
2017-03,61
2017-04,63
2017-05,60
2017-06,65
2017-07,66
2017-08,66
2017-09,67
2017-10,65
2017-11,64
2017-12,64
2018-01,64
2018-02,63
2018-03,69
2018-04,64
2018-05,63
2018-06,64
2018-07,65
2018-08,68
2018-09,67
2018-10,65
2018-11,66
2018-12,66
2019-01,65
2019-02,63
2019-03,63
2019-04,59
2019-05,59
2019-06,62
2019-07,63
2019-08,62
2019-09,62
2019-10,64
2019-11,59
2019-12,60
