Category: All categories

Month,Social Media: (Worldwide)
2004-01,3
2004-02,2
2004-03,4
2004-04,2
2004-05,3
2004-06,2
2004-07,2
2004-08,2
2004-09,2
2004-10,3
2004-11,4
2004-12,2
2005-01,2
2005-02,3
2005-03,3
2005-04,2
2005-05,3
2005-06,2
2005-07,1
2005-08,2
2005-09,2
2005-10,2
2005-11,3
2005-12,2
2006-01,2
2006-02,2
2006-03,3
2006-04,3
2006-05,3
2006-06,2
2006-07,1
2006-08,2
2006-09,2
2006-10,2
2006-11,3
2006-12,2
2007-01,2
2007-02,3
2007-03,3
2007-04,3
2007-05,3
2007-06,3
2007-07,2
2007-08,3
2007-09,4
2007-10,4
2007-11,4
2007-12,3
2008-01,4
2008-02,4
2008-03,4
2008-04,5
2008-05,5
2008-06,5
2008-07,5
2008-08,5
2008-09,6
2008-10,7
2008-11,7
2008-12,6
2009-01,7
2009-02,9
2009-03,10
2009-04,11
2009-05,11
2009-06,14
2009-07,13
2009-08,14
2009-09,17
2009-10,18
2009-11,19
2009-12,16
2010-01,20
2010-02,23
2010-03,24
2010-04,26
2010-05,24
2010-06,28
2010-07,25
2010-08,26
2010-09,29
2010-10,31
2010-11,30
2010-12,25
2011-01,32
2011-02,38
2011-03,39
2011-04,38
2011-05,38
2011-06,38
2011-07,37
2011-08,37
2011-09,40
2011-10,41
2011-11,42
2011-12,33
2012-01,40
2012-02,48
2012-03,46
2012-04,44
2012-05,46
2012-06,41
2012-07,39
2012-08,40
2012-09,44
2012-10,46
2012-11,46
2012-12,36
2013-01,44
2013-02,52
2013-03,48
2013-04,52
2013-05,48
2013-06,44
2013-07,43
2013-08,42
2013-09,49
2013-10,53
2013-11,53
2013-12,43
2014-01,50
2014-02,59
2014-03,57
2014-04,59
2014-05,56
2014-06,49
2014-07,49
2014-08,49
2014-09,60
2014-10,60
2014-11,60
2014-12,50
2015-01,56
2015-02,64
2015-03,67
2015-04,67
2015-05,60
2015-06,57
2015-07,54
2015-08,55
2015-09,64
2015-10,69
2015-11,70
2015-12,55
2016-01,67
2016-02,79
2016-03,78
2016-04,80
2016-05,76
2016-06,67
2016-07,62
2016-08,63
2016-09,74
2016-10,77
2016-11,83
2016-12,67
2017-01,81
2017-02,85
2017-03,91
2017-04,87
2017-05,83
2017-06,74
2017-07,73
2017-08,73
2017-09,79
2017-10,88
2017-11,89
2017-12,75
2018-01,86
2018-02,94
2018-03,92
2018-04,90
2018-05,84
2018-06,78
2018-07,76
2018-08,86
2018-09,92
2018-10,97
2018-11,93
2018-12,80
2019-01,96
2019-02,99
2019-03,99
2019-04,97
2019-05,92
2019-06,89
2019-07,87
2019-08,86
2019-09,99
2019-10,99
2019-11,100
2019-12,98
