Category: All categories

Month,iPhone: (Worldwide)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,1
2007-01,10
2007-02,3
2007-03,2
2007-04,2
2007-05,2
2007-06,10
2007-07,12
2007-08,7
2007-09,11
2007-10,10
2007-11,14
2007-12,15
2008-01,13
2008-02,13
2008-03,15
2008-04,14
2008-05,14
2008-06,21
2008-07,33
2008-08,28
2008-09,26
2008-10,21
2008-11,21
2008-12,24
2009-01,21
2009-02,20
2009-03,22
2009-04,21
2009-05,21
2009-06,38
2009-07,30
2009-08,29
2009-09,29
2009-10,28
2009-11,28
2009-12,31
2010-01,31
2010-02,30
2010-03,29
2010-04,33
2010-05,32
2010-06,55
2010-07,53
2010-08,51
2010-09,48
2010-10,47
2010-11,47
2010-12,50
2011-01,50
2011-02,47
2011-03,46
2011-04,47
2011-05,47
2011-06,47
2011-07,48
2011-08,50
2011-09,55
2011-10,80
2011-11,57
2011-12,61
2012-01,58
2012-02,53
2012-03,53
2012-04,49
2012-05,49
2012-06,52
2012-07,53
2012-08,57
2012-09,100
2012-10,62
2012-11,57
2012-12,61
2013-01,56
2013-02,53
2013-03,52
2013-04,48
2013-05,49
2013-06,51
2013-07,49
2013-08,53
2013-09,79
2013-10,55
2013-11,52
2013-12,53
2014-01,50
2014-02,48
2014-03,46
2014-04,45
2014-05,46
2014-06,46
2014-07,49
2014-08,52
2014-09,92
2014-10,59
2014-11,55
2014-12,56
2015-01,49
2015-02,46
2015-03,47
2015-04,46
2015-05,45
2015-06,46
2015-07,50
2015-08,50
2015-09,63
2015-10,54
2015-11,49
2015-12,54
2016-01,48
2016-02,46
2016-03,52
2016-04,48
2016-05,46
2016-06,46
2016-07,52
2016-08,51
2016-09,79
2016-10,57
2016-11,54
2016-12,55
2017-01,49
2017-02,45
2017-03,46
2017-04,45
2017-05,44
2017-06,45
2017-07,49
2017-08,49
2017-09,72
2017-10,57
2017-11,64
2017-12,62
2018-01,51
2018-02,46
2018-03,46
2018-04,44
2018-05,43
2018-06,45
2018-07,45
2018-08,45
2018-09,57
2018-10,48
2018-11,49
2018-12,51
2019-01,45
2019-02,41
2019-03,41
2019-04,38
2019-05,38
2019-06,40
2019-07,41
2019-08,41
2019-09,62
2019-10,51
2019-11,50
2019-12,51
